"country","channel_count","total_subscribers","total_views","avg_subscribers_per_channel","avg_monthly_earnings","max_subscribers","market_share"
"United States","313","7330400000","3690291816959","23419808.306709265176","580215.993194888179","170000000","32.05"
"India","168","4310600000","2281048375204","25658333.333333333333","888013.119523809524","245000000","18.85"
"Nothing","122","2922200000","1185152360953","23952459.016393442623","325860.069262295082","119000000","12.78"
"Brazil","62","1221800000","481208974267","19706451.612903225806","465307.919354838710","66500000","5.34"
"United Kingdom","43","917400000","430566531608","21334883.720930232558","340559.883720930233","80100000","4.01"
"Mexico","33","626900000","198219932123","18996969.696969696970","218750.939393939394","41300000","2.74"
"Indonesia","28","534100000","151010669055","19075000.000000000000","352064.297857142857","34000000","2.34"
"South Korea","17","481700000","225591685416","28335294.117647058824","1566064.705882352941","89800000","2.11"
"Russia","16","407200000","232996328527","25450000.000000000000","723283.187500000000","106000000","1.78"
"Thailand","18","386500000","264317974741","21472222.222222222222","366811.116111111111","43700000","1.69"
